enzyme,n_sites,mean_%_GC_content,mean_%_CpG_content,%_sites_protein_coding_genes,%_sites_exons,%_sites_introns,%_sites_non_coding_RNA_genes,%_sites_intragenic,%_sites_intergenic,%_sites_CGI,%_sites_shores,%_sites_shelves,%_sites_CGI_promoters,%_sites_non_CGI_promoters
AseI,1441034,28.9041452939,0.304459367371,41.4453788044,1.40517156431,40.1106427746,7.91577436757,43.0368749107,56.961390224,0.0402488768482,1.85241985963,1.96123061635,0.745089983998,0.853623162257
BlpI,523617,49.1908172475,0.795124107888,47.1014119099,4.52315337355,42.7845161635,6.97628228266,50.1011235311,49.8941019868,1.98408378643,5.73243420286,4.25731020956,2.54728169635,1.59104841898
Bse118I,327891,57.8488528563,2.07711556584,53.0621456521,12.0939580531,41.5104409697,5.77508989268,58.3501834451,41.6421920699,15.0827561598,11.4101942414,6.32923746001,11.2830178321,1.85305482615
BspCNI,9779214,47.8222286349,0.521529664859,44.568857988,2.73043416373,41.9726268389,6.49988843684,47.2750366236,52.7247077321,0.692069935273,4.39753133534,3.76734776435,1.76128674554,1.35614171037
Eco32I,446526,36.6472397323,0.302426734389,39.0210200526,2.09730228475,37.0235999695,7.60314069058,40.6054742613,59.3889269606,0.141089208691,1.96069209856,1.95397356481,0.812270730036,0.848102910021
AspA2I,595018,46.8987579554,0.488422535117,44.8225095711,1.96582288267,42.9699605726,6.90769018752,47.5797370836,52.4160613628,0.774094229082,4.41230349334,3.48829783301,1.97977204051,1.28214608634
MslI,3209880,41.6234642975,0.445472322953,42.7955562202,2.71293630915,40.2056774708,7.38507358531,44.8952920358,55.1039291188,0.448583747679,3.17217466073,2.91496878388,1.11175495657,1.08527421586
BmtI,285914,43.9670025049,0.438609511951,41.4879998881,2.22129731318,39.3835209189,7.49001447988,43.5980749456,56.3931811664,0.94993599474,3.15374553187,2.52873241604,1.67672796715,0.996803234539
AluBI,13027892,44.947439121,0.498068927805,44.9362183844,3.06791766465,42.0158917498,6.95584519737,47.403133216,52.596674888,0.692299260694,3.89719227025,3.34992030944,1.62298704963,1.26246057305
BspHI,978345,39.5112536327,0.347092283397,41.4135095493,2.16171187056,39.3524779091,7.73735236547,43.2656169347,56.7318277295,0.126335801788,2.20944554324,2.44821612008,0.824760181735,0.97940910415
