family_name,enzyme,methylation_sensitive
MluCI,Sse9I,0
MluCI,TasI,0
MluI,MluI,1
Mly113I,Mly113I,NA
Mly113I,NarI,1
MlyI,MlyI,NA
MlyI,SchI,NA
MmeI,MmeI,1
MnlI,MnlI,1
MreI,MreI,NA
MseI,MseI,0
MseI,SaqAI,0
MseI,Tru1I,0
MslI,MslI,NA
MslI,RseI,NA
MslI,SmiMI,NA
MspA1I,MspA1I,1
MssI,MssI,0
MssI,PmeI,0
MteI,MteI,1
NaeI,NaeI,1
NaeI,PdiI,1
NmeAIII,NmeAIII,NA
NmuCI,NmuCI,1
NmuCI,TseFI,NA
PacI,PacI,0
PaeI,PaeI,NA
PaeI,SphI,1
PaeR7I,PaeR7I,1
PaeR7I,Sfr274I,NA
PaeR7I,SlaI,1
PaeR7I,XhoI,1
PasI,PasI,NA
PciI,PciI,1
PciI,PscI,NA
PcsI,PcsI,1
PfeI,PfeI,1
PfeI,TfiI,1
PflFI,PflFI,0
PflFI,PsyI,0
PflFI,Tth111I,0
PfoI,PfoI,1
Ple19I,Ple19I,NA
Ple19I,PvuI,1
PleI,PleI,1
PleI,PpsI,NA
PluTI,PluTI,1
PpuMI,PpuMI,1
PpuMI,Psp5II,1
Psp124BI,Psp124BI,NA
Psp124BI,SacI,1
Psp124BI,SstI,1
PspPPI,PspPPI,NA
PspXI,PspXI,1
PsrI,PsrI,1
PvuII,PvuII,1
RsrII,RsrII,1
SalI,SalI,1
SbfI,SbfI,1
SbfI,SdaI,NA
SbfI,Sse8387I,1
SfiI,SfiI,1
SgrAI,SgrAI,1
SgrDI,SgrDI,NA
SmaI,SmaI,1
SmiI,SmiI,0
SmiI,SwaI,0
SmlI,SmlI,NA
SmlI,SmoI,NA
SrfI,SrfI,1
SspI,SspI,0
TaiI,TaiI,1
TaqI,TaqI,0
TaqII,TaqII,NA
TatI,TatI,NA
TauI,TauI,1
Tru9I,Tru9I,0
TscAI,TscAI,NA
TscAI,TspRI,1
Tsp45I,Tsp45I,NA
TspDTI,TspDTI,NA
TspGWI,TspGWI,NA
XbaI,XbaI,1
XcmI,XcmI,1
ZraI,ZraI,1
