Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(AanI OR PsiI) AND (MseI OR SaqAI OR Tru1I),297_1157,140_1000,496.0,34.23,5943.161,6.11,4.07853581894797,0.992889856229792,0.25|0.2,496
(AanI OR PsiI) AND (Tru9I),297_1157,140_1000,496.0,34.23,5943.161,6.11,4.07853581894797,0.992889856229792,0.25|0.2,496
(BccI) AND (TspDTI),357_877,200_720,365.0,25.19,4374.143,8.31,4.07860011248377,0.963836762432366,0.25|0.2,365
(DraI) AND (HpyCH4V),317_1037,160_880,483.0,33.33,5788.816,6.28,4.07864261479825,0.980751558549438,0.25|0.2,483
(ApoI OR XapI) AND (BfaI OR FspBI OR MaeI OR SspMI OR XspI),357_1037,200_880,381.0,26.29,4566.863,7.96,4.07869300785246,0.990396856805607,0.25|0.2,381
(CsiI OR MabI OR SexAI) AND (FatI),357_1117,200_960,378.0,26.09,4531.582,8.02,4.07875804321960,0.986851412582821,0.25|0.2,378
(CsiI OR MabI OR SexAI) AND (CviAII),357_1117,200_960,378.0,26.09,4531.681,8.02,4.07876753100644,0.986867069823789,0.25|0.2,378
(CsiI OR MabI OR SexAI) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),357_1117,200_960,378.0,26.09,4531.799,8.02,4.07877883941091,0.989491454258615,0.25|0.2,378
(BtsIMutI) AND (MslI OR RseI),337_1037,180_880,380.0,26.22,4556.458,7.98,4.07884377482090,0.989840150263172,0.25|0.2,380
(AjuI) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),357_1117,200_960,374.0,25.81,4484.812,8.1,4.07887264025792,0.979741155922727,0.25|0.2,374
(FatI) AND (XbaI),357_917,200_760,364.0,25.12,4365.043,8.33,4.07888714264471,0.971648013934428,0.25|0.2,364
(FaeI OR Hin1II OR Hsp92II OR NlaIII) AND (XbaI),357_917,200_760,364.0,25.12,4365.07,8.33,4.07888982896756,0.971325612717360,0.25|0.2,364
(NspI OR XceI) AND (HpyCH4V),317_1157,160_1000,480.0,33.13,5756.349,6.31,4.07890587940034,0.984355721487740,0.25|0.2,480
(AlwI OR BspPI) AND (TspDTI),357_1117,200_960,377.0,26.02,4521.165,8.04,4.07890900670284,0.964505622631293,0.25|0.2,377
(AspA2I OR AvrII OR BlnI OR XmaJI) AND (HpyCH4V),357_1077,200_920,379.0,26.16,4545.556,7.99,4.07894780255438,0.988270976977665,0.25|0.2,379
(Eam1104I) AND (HpyCH4V),297_517,140_360,372.0,25.67,4462.181,8.14,4.07900424276402,0.970373856304110,0.25|0.2,372
(MseI OR SaqAI OR Tru1I) AND (MssI),297_1157,140_1000,492.0,33.95,5901.678,6.16,4.07901040760870,0.991728510914489,0.25|0.2,492
(MssI) AND (Tru9I),297_1157,140_1000,492.0,33.95,5901.678,6.16,4.07901040760870,0.991728510914489,0.25|0.2,492
(BtsIMutI) AND (TspDTI),357_1097,200_940,384.0,26.5,4606.55,7.89,4.07904456503684,0.972444080349575,0.25|0.2,384
(AxyI OR Bse21I OR Bsu36I OR Eco81I) AND (Tru9I),297_737,140_580,460.0,31.75,5518.383,6.59,4.07905400745076,0.977831864469018,0.25|0.2,460
(AxyI OR Bse21I OR Bsu36I OR Eco81I) AND (MseI OR SaqAI OR Tru1I),297_737,140_580,460.0,31.75,5518.383,6.59,4.07905400745076,0.977831864469018,0.25|0.2,460
(BseGI OR BtsCI) AND (EcoT22I OR Mph1103I OR NsiI OR Zsp2I),237_1137,80_980,365.0,25.19,4380.443,8.3,4.07922516904459,0.984999834779253,0.25|0.2,365
(CspAI) AND (HpyCH4V),357_1077,200_920,373.0,25.74,4477.319,8.12,4.07930920628802,0.990969634141611,0.25|0.2,373
(AseI OR PshBI OR VspI) AND (BstKTI),257_817,100_660,383.0,26.43,4597.444,7.9,4.07931767397105,0.982529855487257,0.25|0.2,383
(BbsI OR BpiI) AND (BccI),277_1037,120_880,378.0,26.09,4537.751,8.01,4.07934886132542,0.990768497961610,0.25|0.2,378
(BccI) AND (DraI),317_1037,160_880,366.0,25.26,4394.012,8.27,4.07938015324531,0.976881276181981,0.25|0.2,366
(DraI) AND (MseI OR SaqAI OR Tru1I),297_1157,140_1000,491.0,33.89,5896.631,6.16,4.07952245917901,0.992601637797891,0.25|0.2,491
(DraI) AND (Tru9I),297_1157,140_1000,491.0,33.89,5896.631,6.16,4.07952245917901,0.992601637797891,0.25|0.2,491
(Eam1105I) AND (HpyCH4V),357_1077,200_920,375.0,25.88,4503.562,8.07,4.07952487827346,0.989983373060202,0.25|0.2,375
(BstDEI OR DdeI OR HpyF3I) AND (MnlI),257_357,100_200,503.0,34.71,6041.639,6.02,4.07958678669367,0.946905720740499,0.25|0.2,503
(CspCI) AND (CviAII),357_1117,200_960,374.0,25.81,4492.445,8.09,4.07961116664281,0.974761928250585,0.25|0.2,374
(CspCI) AND (FatI),357_1117,200_960,374.0,25.81,4492.446,8.09,4.07961126331498,0.974773136153953,0.25|0.2,374
(XmnI) AND (CviAII),357_1117,200_960,378.0,26.09,4540.779,8.0,4.07963856543830,0.980093614685695,0.25|0.2,378
(XmnI) AND (FatI),357_1117,200_960,378.0,26.09,4540.829,8.0,4.07964334757030,0.980107795749422,0.25|0.2,378
(BspQI OR LguI OR SapI) AND (CviAII),357_1117,200_960,375.0,25.88,4505.178,8.07,4.07968068694155,0.976912943271052,0.25|0.2,375
(BspQI OR LguI OR SapI) AND (FatI),357_1117,200_960,375.0,25.88,4505.201,8.07,4.07968290411201,0.976910065406096,0.25|0.2,375
(MaeIII) AND (SspI),277_777,120_620,378.0,26.09,4541.284,8.0,4.07968686255176,0.975586926712496,0.25|0.2,378
(PstI) AND (HpyCH4V),357_1077,200_920,372.0,25.67,4469.799,8.13,4.07974505413291,0.991420913661486,0.25|0.2,372
(PstI) AND (FatI),297_577,140_420,397.0,27.4,4771.2,7.62,4.07983711500979,0.966837935885810,0.25|0.2,397
(BspQI OR LguI OR SapI) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),357_1117,200_960,375.0,25.88,4507.038,8.06,4.07985995200750,0.973509340433669,0.25|0.2,375
(BmcAI OR ScaI OR ZrmI) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),357_1117,200_960,373.0,25.74,4483.321,8.11,4.07989100309499,0.966498736320291,0.25|0.2,373
(AjuI) AND (FatI),357_1117,200_960,373.0,25.74,4484.779,8.1,4.08003221502621,0.981417115317058,0.25|0.2,373
(AjuI) AND (CviAII),357_1117,200_960,373.0,25.74,4484.862,8.1,4.08004025245870,0.980631254179573,0.25|0.2,373
(AjuI) AND (HpyCH4V),357_1077,200_920,374.0,25.81,4497.033,8.08,4.08005447230660,0.985745132543189,0.25|0.2,374
(CviAII) AND (XbaI),357_917,200_760,363.0,25.05,4365.016,8.33,4.08007921491819,0.972265882616096,0.25|0.2,363
(AseI OR PshBI OR VspI) AND (BfaI OR FspBI OR MaeI OR SspMI OR XspI),317_977,160_820,381.0,26.29,4581.598,7.93,4.08009200484760,0.977875549182957,0.25|0.2,381
(BstENI OR EcoNI OR XagI) AND (Tru9I),317_897,160_740,433.0,29.88,5207.697,6.98,4.08015781133885,0.970092967984564,0.25|0.2,433
(BstENI OR EcoNI OR XagI) AND (MseI OR SaqAI OR Tru1I),317_897,160_740,433.0,29.88,5207.697,6.98,4.08015781133885,0.970092967984564,0.25|0.2,433
(FaeI OR Hin1II OR Hsp92II OR NlaIII) AND (FauNDI OR NdeI),357_917,200_760,364.0,25.12,4378.037,8.3,4.08017804394099,0.975877157784461,0.25|0.2,364
