(DpnII OR MboI OR NdeII) AND (DraI),317_957,160_800,6424.0,29.47,242.598,6.58,1.57708168391144,0.978938811891318,0.25|0.2,6424
(BclI) AND (MseI OR SaqAI OR Tru1I),277_477,120_320,6427.0,29.48,242.766,6.57,1.57717956269733,0.942610389309084,0.25|0.2,6427
(BclI) AND (Tru9I),277_477,120_320,6427.0,29.48,242.766,6.57,1.57717956269733,0.942610389309084,0.25|0.2,6427
(AluBI) AND (SmiI OR SwaI),297_997,140_840,6291.0,28.86,237.629,6.71,1.57717975521267,0.934531474624260,0.25|0.2,6291
(AluBI) AND (PacI),297_717,140_560,5483.0,25.15,207.157,7.7,1.57728136715517,0.925828732333261,0.25|0.2,5483
(SmiI OR SwaI) AND (Tru9I),277_477,120_320,6114.0,28.04,231.231,6.9,1.57772062298139,0.946360760716832,0.25|0.2,6114
(MseI OR SaqAI OR Tru1I) AND (SmiI OR SwaI),277_477,120_320,6114.0,28.04,231.231,6.9,1.57772062298139,0.946360760716832,0.25|0.2,6114
(MssI OR PmeI) AND (Tru9I),277_477,120_320,6114.0,28.04,231.247,6.9,1.57775067289388,0.946385860214034,0.25|0.2,6114
(MseI OR SaqAI OR Tru1I) AND (MssI OR PmeI),277_477,120_320,6114.0,28.04,231.247,6.9,1.57775067289388,0.946385860214034,0.25|0.2,6114
(PacI) AND (Tru9I),277_477,120_320,6114.0,28.04,231.259,6.9,1.57777320896383,0.946424783476107,0.25|0.2,6114
(MseI OR SaqAI OR Tru1I),277_477,120_320,6114.0,28.04,231.259,6.9,1.57777320896383,0.946424783476107,0.25|0.2,6114
(MseI OR SaqAI OR Tru1I) AND (PacI),277_477,120_320,6114.0,28.04,231.259,6.9,1.57777320896383,0.946424783476107,0.25|0.2,6114
(AseI OR PshBI OR VspI) AND (MseI OR SaqAI OR Tru1I),277_477,120_320,6114.0,28.04,231.259,6.9,1.57777320896383,0.946424783476107,0.25|0.2,6114
(MseI OR SaqAI OR Tru1I) AND (Tru9I),277_477,120_320,6114.0,28.04,231.259,6.9,1.57777320896383,0.946424783476107,0.25|0.2,6114
(Tru9I),277_477,120_320,6114.0,28.04,231.259,6.9,1.57777320896383,0.946424783476107,0.25|0.2,6114
(AseI OR PshBI OR VspI) AND (Tru9I),277_477,120_320,6114.0,28.04,231.259,6.9,1.57777320896383,0.946424783476107,0.25|0.2,6114
(DraI) AND (Tru9I),277_477,120_320,6106.0,28.01,230.986,6.91,1.57782885825418,0.949215836613338,0.25|0.2,6106
(DraI) AND (MseI OR SaqAI OR Tru1I),277_477,120_320,6106.0,28.01,230.986,6.91,1.57782885825418,0.949215836613338,0.25|0.2,6106
(ApoI OR XapI) AND (TaqI),317_637,160_480,5550.0,25.46,209.962,7.6,1.57784771787963,0.985624072953466,0.25|0.2,5550
(XmnI) AND (MluCI OR Sse9I OR TasI),297_1157,140_1000,7023.0,32.21,265.804,6.0,1.57803884379937,0.978226405926419,0.25|0.2,7023
(AluBI) AND (MssI OR PmeI),297_997,140_840,6129.0,28.11,232.223,6.87,1.57851560989200,0.932094465594398,0.25|0.2,6129
